Full Address,count
"245 MESEROLE AVE, 11222",109
"2985 JEROME AVE, 10468",4
"196-03 GRAND CENTRAL PARKWAY, 11423",4
"8521 7TH AVE, 11228",4
"117 MORNINGSIDE AVE, 10027",4
"2173 GRAND CONCOURSE, 10453",4
"914 REMSEN AVE, 11236",4
"1193 MYRTLE AVE, 11221",4
"1981 OCEAN AVE, 11230",4
"1982 BRONXDALE AVE, 10462",4
"1314 SEDGWICK AVE, 10452",4
"1317 OAKPOINT AVE, 10474",3
"6440 MYRTLE AVE, 11385",3
"7338 COOPER AVE, 11385",3
"3209 21ST ST, 11106",3
"4008 30TH AVE, 11103",3
"3500 CONNER ST, 10475",3
"2402 KNAPP ST, 11235",3
"3055 WESTCHESTER AVENUE, 10461",3
"109 E 138TH ST, 10451",3
"32 JAMAICA AVE, 11207",3
"4275 BROADWAY, 10033",3
"3002 ASTORIA BLVD, 11102",3
"2276 WESTCHESTER AVE, 10462",3
"8404 PARSONS BLVD, 11432",3
"12903 N CONDUIT AVE, 11420",3
"232 W 145TH ST, 10039",3
"8505 ASTORIA BLVD, 11370",3
"2001 NEPTUNE AVE, 11224",3
"546 MORGAN AVE, 11222",3
"15328 ROCKAWAY BLVD, 11434",3
"51 KINGSLAND AVE, 11211",3
"1152 UTICA AVE, 11203",3
"355 1ST AVE, 10010",3
"173-12 HORACE HARDING EXPRESSWAY SR S, 11365",3
"7108 NORTHERN BLVD, 11372",3
"2100 WILLIAMSBRIDGE RD, 10461",3
"1081 LEGGETT AVE, 10474",3
"168 FLUSHING AVE, 11205",3
"284 MCDONALD AVE, 11218",3
"9616 FLATLANDS AVE, 11236",3
"718 11TH AVE, 10019",3
"10710 ASTORIA BLVD, 11369",3
"2001 CROPSEY AVE, 11214",3
"590 E FORDHAM RD, 10458",3
"1624 BOSTON RD, 10460",3
"5914 RIVERDALE AVE, 10471",3
"2960 86TH ST, 11223",3
"25-65 BROOKLYN QUEENS EXPRESSWAY, 11377",3
"2350 JEROME AVE, 10468",3
"481 E 163RD ST, 10451",3
"1 EUCLID AVE, 11208",3
"3515 GREENPOINT AVE, 11101",3
"880 GARRISON AVE, 10474",3
"2430 FDR DR, 10010",3
"2488 HYLAN BLVD, 10306",3
"1106 METCALF AVE, 10472",3
"12901 GUY R BREWER BLVD, 11434",3
"5025 BAY PKWY, 11230",3
"13005 20TH AVE, 11356",3
"666 GREENWICH ST, 10014",3
"1220 E 233RD ST, 10466",3
"17402 HORACE HARDING EXPY, 11365",3
"23915 JAMAICA AVE, 11426",3
"1249 SUTTER AVE, 11208",3
"6520 COOPER AVE, 11385",3
"3260 BROADWAY, 10027",3
"2285 FLATBUSH AVE, 11234",3
"1730 CROSS BRONX EXPY, 10472",3
"1764 UNIVERSITY AVE, 10453",3
"1165 OGDEN AVE, 10452",3
"4707 ARTHUR KILL ROAD, 10309",3
"6011 QUEENS BLVD, 11377",3
"7202 ROOSEVELT AVE, 11372",3
"708 RICHMOND RD, 10304",3
"1379 HALSEY ST, 11237",2
"6908 ELIOT AVE, 11379",2
"1002 CLINTONVILLE ST, 11357",2
"11801 ROCKAWAY BLVD, 11420",2
"15065 CROSS ISLAND PKWY, 11357",2
"12802 14TH AVE, 11356",2
"2918 BOSTON RD, 10469",2
"15 PAGE AVE, 10309",2
"71 MAJOR DEEGAN EXPRESS, 10471",2
"16235 N CONDUIT AVE, 11434",2
"4353 BROADWAY, 10033",2
"655 FLUSHING AVE, 11206",2
"444 SOUNDVIEW AVE, 10473",2
"11660 SUTPHIN BLVD, 11434",2
"9702 FOSTER AVE, 11236",2
"1064 ATLANTIC AVE, 11238",2
"348 E 106TH ST, 10029",2
"2007 WILLIAMSBRIDGE RD, 10461",2
"1 JFK INTL AIRPORT BLVD, 11430",2
"941 ATLANTIC AVE, 11238",2
"9949 HORACE HARDING EXPY, 11368",2
"1133 JEROME AVE, 10452",2
"1450 ATLANTIC AVE, 11216",2
"114-05 FARMERS BOULEVARD, 11412",2
"12748 NORTHERN BLVD, 11368",2
"1915 BRUCKNER BLVD, 10472",2
"895 BEDFORD AVE, 11205",2
"3031 CONEY ISLAND AVE, 11235",2
"16302 LINDEN BLVD, 11434",2
"185-25 NORTH CONDUIT AVENUE, 11413",2
"668 3RD AVE, 11232",2
"20533 HOLLIS AVE, 11412",2
"13710 FARMERS BLVD, 11434",2
"15605 ROCKAWAY BLVD, 11434",2
"2161 AMSTERDAM AVENUE, 10032",2
"497 MEEKER AVE, 11222",2
"6743 4TH AVE, 11220",2
"4905 ASTORIA BLVD, 11370",2
"2816 ATLANTIC AVE, 11207",2
"2111 ATLANTIC AVE, 11233",2
"301 65TH ST, 11220",2
"2627 COLLEGE POINT BLVD, 11354",2
"5 SAINT JAMES PL, 10038",2
"1188 METROPOLITAN AVE, 11237",2
"5701 2ND AVE, 11220",2
"985 RICHMOND AVE, 10314",2
"11321 MERRICK BLVD, 11433",2
"1843 43RD ST, 11105",2
"6000 SHORE PARKWAY, 11234",2
"1982 UTICA AVE, 11234",2
"3755 NOSTRAND AVE, 11235",2
"2290 BOSTON RD, 10467",2
"37 LAGUARDIA AIRPORT, 11369",2
"5936 MAURICE AVE, 11378",2
"281 BRUCKNER BLVD, 10454",2
"7740 HEWLETT ST, 11040",2
"13107 MERRICK BLVD, 11434",2
"1780 CONEY ISLAND AVE, 11230",2
"415 EMPIRE BLVD, 11225",2
"5824 CHURCH AVE, 11203",2
"6571 BROADWAY, 10471",2
"889 3RD AVE, 11232",2
"441 UTICA AVE, 11203",2
"3402 31ST ST, 11106",2
"231 BAY ST, 10301",2
"2193 BEDFORD AVE, 11226",2
"1149 UTICA AVE, 11203",2
"730 E FORDHAM RD, 10458",2
"24302 S CONDUIT AVE, 11422",2
"1105 60TH ST, 11219",2
"1285 BEDFORD AVE, 11216",2
"2773 NOSTRAND AVE, 11210",2
"2121 FOREST AVE, 10303",2
"1802 ATLANTIC AVE, 11233",2
"1680 RICHMOND AVE, 10314",2
"8206 ASTORIA BLVD, 11370",2
"548 CONEY ISLAND AVE, 11218",2
"569 MYRTLE AVE, 11205",2
"378 CONEY ISLAND AVE, 11218",2
"14150 UNION TPKE, 11367",2
"4402 ASTORIA BLVD, 11103",2
"239 UNION AVE, 11211",2
"3602 SNYDER AVE, 11203",2
"4310 31ST AVE, 11103",2
"4210 FARRAGUT RD, 11203",2
"460 MOTHER GASTON BLVD, 11212",2
"644 BUSHWICK AVE, 11221",2
"32 HIGHLAND BLVD, 11207",2
"2642 FULTON ST, 11207",2
"8814 101ST AVE, 11416",2
"8719 ROCKAWAY BLVD, 11416",2
"387 PORT RICHMOND AVE, 10302",2
"1360 BRUCKNER BLVD, 10459",2
"2525 VICTORY BLVD, 10314",2
"93-02 ATLANTIC AVENUE, 11416",2
"8820 ASTORIA BLVD, 11369",2
"868 ARTHUR KILL RD, 10312",2
"571 CONEY ISLAND AVE, 11218",2
"211 TAPSCOTT ST, 11212",2
"43-07 ASTORIA BOULEVARD NORTH, 11105",2
"1248 CONEY ISLAND AVE, 11230",2
"10 MALCOLM X BLVD, 11221",2
"6515 COOPER AVE, 11385",2
"2509 VICTORY BLVD, 10314",2
"1532 BUSHWICK AVE, 11207",2
"3102 ASTORIA BLVD, 11102",2
"619 CONEY ISLAND AVE, 11218",2
"586 CONDUIT BLVD, 11208",2
"951 BAY ST, 10305",2
"1412 EASTERN PKWY, 11233",2
"1143 CLARKSON AVE, 11212",2
"8102 ATLANTIC AVE, 11416",2
"611 GRAND CONCOURSE, 10451",2
"1130 PENNSYLVANIA AVE, 11207",2
"1884 FLUSHING AVE, 11385",2
"1381 ATLANTIC AVE, 11216",2
"3031 BAILEY AVE, 10463",2
"6104 FRESH POND RD, 11379",2
"5912 FRESH POND RD, 11378",2
"5931 AMBOY RD, 10309",2
"8775 BAY PKWY, 11214",2
"119 BRUCKNER BLVD, 10454",2
"7105 MYRTLE AVE, 11385",2
"240-08 BRADDOCK AVENUE, 11426",2
"176 MCGUINNESS BLVD, 11222",2
"2525 3RD AVE, 10451",2
"225 VAN BRUNT ST, 11231",2
"5916 FOSTER AVE, 11234",2
"802 65TH ST, 11220",2
"164 WILLIS AVE, 10454",2
"4244 HYLAN BLVD, 10312",2
"530 UTICA AVE, 11203",2
"1098 RICHMOND RD, 10304",2
"1998 ATLANTIC AVE, 11233",2
"717 RICHMOND RD, 10304",2
"99 EAST 149 STREET, 10451",2
"3637 21ST ST, 11106",2
"1635 HYLAN BLVD, 10305",2
"150 W 145TH ST, 10039",2
"250 EMPIRE BLVD, 11225",2
"1463 EASTERN PKWY, 11233",2
"720 NEW YORK AVE, 11203",2
"2090 BRONXDALE AVE, 10462",2
"513 FLATBUSH AVE, 11225",2
"1049 GRAND ST, 11211",2
"4901 NORTHERN BLVD, 11101",2
"6004 METROPOLITAN AVE, 11385",2
"1935 LINDEN BLVD, 11207",2
"1201 WEBSTER AVE, 10456",2
"6252 METROPOLITAN AVE, 11379",2
"15409 UNION TPKE, 11367",2
"6090 ELIOT AVE, 11378",2
"1525 MYRTLE AVE, 11237",2
"4711 3RD AVE, 10458",2
"4000 HYLAN BLVD, 10308",2
"1212 VICTORY BLVD, 10301",2
"1237 JEROME AVE, 10452",2
"1201 VICTORY BLVD, 10301",2
"784 JAMAICA AVE, 11208",2
"22233 BRADDOCK AVE, 11428",2
"1724 WEBSTER AVE, 10457",2
"1127 FLUSHING AVE, 11237",2
"13011 N CONDUIT AVE, 11420",2
"9005 MYRTLE AVE, 11385",2
"2001 GRAVESEND NECK RD, 11229",2
"1881 E TREMONT AVE, 10462",2
"688 E GUN HILL RD, 10467",2
"971 REMSEN AVE, 11236",2
"9711 NORTHERN BLVD, 11368",2
"21160 HILLSIDE AVE, 11427",2
"11321 ROCKAWAY BLVD, 11420",2
"10804 FLATLANDS AVE, 11236",2
"112 MANSION AVE, 10308",2
"6161 BROADWAY, 10471",2
"4220 BRONX BLVD, 10466",2
"13721 JAMAICA AVE, 11435",2
"260-09 NASSAU BOULEVARD, 11362",2
"141-54 NORTHERN BOULEVARD, 11354",2
"16405 UNION TPKE, 11366",2
"3740 BROADWAY, 10032",2
"1365 BOSTON RD, 10456",2
"242 DYCKMAN ST, 10034",2
"7702 FLATLANDS AVE, 11236",2
"2701 KNAPP ST, 11235",2
"11050 HORACE HARDING EXPY, 11375",2
"245 MESEROLE AVENUE, 11222",2
"285 E 233RD ST, 10470",2
"15411 HORACE HARDING EXPY, 11367",2
"2326 1ST AVE, 10035",2
"2620 86TH ST, 11223",2
"1610 UTICA AVE, 11234",2
"5326 VAN DAM ST, 11101",2
"3105 QUEENS BLVD, 11101",2
"4606 DITMARS BLVD, 11105",2
"163 BRUCKNER BLVD, 10454",2
"401 E 80TH ST, 11236",2
"317 W 230TH ST, 10463",2
"871 MELROSE AVE, 10451",2
"4901 VAN DAM ST, 11101",2
"2472 KNAPP ST, 11235",2
"466 10TH AVE, 10018",2
"4001 4TH AVE, 11232",2
"3400 BAYCHESTER AVE, 10475",2
"3102 68TH ST, 11377",2
"7313 COOPER AVE, 11385",2
"10830 MERRICK BLVD, 11433",2
"1810 UTOPIA PKWY, 11357",2
"17211 NORTHERN BLVD, 11358",2
"14555 GUY R BREWER BLVD, 11434",2
"11520 BEACH CHANNEL DR, 11694",2
"278 GREENPOINT AVE, 11222",2
"4904 COLLEGE POINT BLVD, 11355",2
"4202 QUEENS BLVD, 11104",2
"1599 LEXINGTON AVE, 10029",2
"2400 FLATBUSH AVE, 11234",2
"11106 VAN WYCK EXPY, 11420",2
"16115 CROSSBAY BLVD, 11414",2
"22401 N CONDUIT AVE, 11413",2
"418 CONEY ISLAND AVE, 11218",2
"2624 CONEY ISLAND AVE, 11223",2
"3305 E TREMONT AVE, 10461",2
"2103 WEBSTER AVE, 10457",2
"1620 NEPTUNE AVE, 11224",2
"59-51 QUEENS MIDTOWN EXPRESSWAY SR N, 11378",2
"1868 LINDEN BLVD, 11207",2
"1141 CASTLE HILL AVE, 10462",2
"14920 ROCKAWAY BLVD, 11436",2
"12824 ROCKAWAY BLVD, 11420",2
"1755 FRANCIS LEWIS BLVD, 11357",2
"13344 150TH ST, 11436",2
"4102 AVENUE H, 11210",2
"2228 GERRITSEN AVE, 11229",2
"8401 FLATLANDS AVE, 11236",2
"2000 ROCKAWAY PKWY, 11236",2
"13415 CROSSBAY BLVD, 11417",2
"11210 BEACH CHANNEL DR, 11694",2
"1665 BARTOW AVE, 10469",2
"15904 CROSSBAY BLVD, 11414",2
"410 CITY ISLAND AVE, 10464",2
"9612 SEAVIEW AVE, 11236",2
"1769 ARTHUR KILL RD, 10312",2
"2317 RALPH AVE, 11234",2
"1738 E GUN HILL RD, 10469",2
"8913 DITMAS AVE, 11236",2
"1855 1ST AVE, 10128",2
"13415 ROCKAWAY BLVD, 11420",2
"1601 86TH ST, 11214",2
"3132 FORT HAMILTON PKWY, 11218",2
"265 NAGLE AVE, 10034",2
"1702 NEPTUNE AVE, 11224",2
"4013 ASTORIA BLVD, 11105",2
"20606 JAMAICA AVE, 11428",2
"9210 ASTORIA BLVD, 11369",2
"824 ALLERTON AVE, 10467",2
"16501 HILLSIDE AVE, 11432",2
"11035 HORACE HARDING EXPY, 11368",2
"3715 14 AVENUE, 11218",2
"7829 GRAND AVE, 11373",2
"5809 RUST ST, 11378",2
"321 MCGUINNESS BLVD, 11222",2
"3210 WEBSTER AVE, 10467",2
"7519 18TH AVE, 11214",2
"13898 QUEENS BLVD, 11435",2
"600 PELHAM PKWY S, 10462",2
"16115 46TH AVE, 11358",2
"640 CONDUIT BOULEVARD, 11208",2
"610 NEREID AVE, 10470",2
"18705 HILLSIDE AVE, 11432",2
"11708 SPRINGFIELD BLVD, 11411",2
"1924 FLATBUSH AVE, 11210",2
"13015 14TH AVE, 11356",2
"2916 FRANCIS LEWIS BLVD, 11358",2
"21302 JAMAICA AVE, 11428",2
"713 KENT AVE, 11249",2
"46-11 108 STREET, 11368",2
"3802 21ST ST, 11101",2
"1865 BRUCKNER BLVD, 10472",2
"4880 BROADWAY, 10034",2
"18417 HORACE HARDING EXPY, 11365",2
"256 MCGUINNESS BLVD, 11222",2
"8517 18TH AVE, 11214",2
"51 8TH AVE, 10014",2
"3901 21ST ST, 11101",2
"15017 CROSS ISLAND PKWY, 11357",2
"13819 HILLSIDE AVE, 11435",2
"4715 11TH ST, 11101",2
"1610 EASTCHESTER RD, 10461",2
"4201 WEBSTER AVE, 10470",2
"1029 WASHINGTON AVE, 10456",2
"1419 BRUCKNER BLVD, 10472",2
"11402 VAN WYCK EXPY, 11420",2
"152 UNION AVE, 11206",2
"836 E 233RD ST, 10466",2
"180 W SERVICE RD, 10314",2
"3170 ATLANTIC AVE, 11208",2
"1676 FLATBUSH AVE, 11210",2
"4202 21ST ST, 11101",2
"13721 LIBERTY AVE, 11435",2
"456 BUSHWICK AVENUE, 11206",2
"7401 GRAND AVE, 11373",2
"4302 FORT HAMILTON PKWY, 11219",2
"463 CONDUIT BLVD, 11208",2
"1514 BRONXDALE AVE, 10462",2
"3902 QUEENS BLVD, 11104",2
"222 MANSION AVE, 10308",2
"8910 ASTORIA BLVD, 11369",2
"6905 ELIOT AVE, 11379",2
"1781 ARTHUR KILL RD, 10312",2
"1225 E 233RD ST, 10466",2
"7541 YELLOWSTONE BLVD, 11374",2
"1128 E GUN HILL RD, 10469",2
"14827 LIBERTY AVE, 11435",2
"13435 101ST AVE, 11419",2
"20005 HORACE HARDING EXPY, 11364",2
"9744 SUTPHIN BLVD, 11435",2
"13850 HILLSIDE AVE, 11435",2
"2276 1ST AVE, 10035",2
"250 JACKSON AVE, 10454",2
"765 PENNSYLVANIA AVENUE, 11207",2
"11244 ROOSEVELT AVE, 11368",2
"43-20 ASTORIA BOULEVARD SOUTH, 11103",2
"3417 NORTHERN BLVD, 11101",2
"25202 UNION TPKE, 11426",1
